Basics,Basics,Basics,Basics,Basics,Basics,Discoverability,Discoverability
Department of Agriculture,National Agricultural Statistics Service,---,Cropland Data Layer,https://www.nass.usda.gov/Research_and_Science/Cropland/SARS1a.php,non-gov,https://www.usda.gov/developer,https://www.nass.usda.gov/developer/
Department of Agriculture,National Agricultural Statistics Service,---,Quick Stats API,http://quickstats.nass.usda.gov/api,active,https://www.usda.gov/developer,https://www.nass.usda.gov/developer/
Department of Agriculture,National Agricultural Statistics Service,---,VegScape API,https://nassgeodata.gmu.edu/VegScape/devhelp/help.html,non-gov,,https://www.nass.usda.gov/developer/
Department of Agriculture,National Agricultural Statistics Service,---,CropScape Developer Guide ,https://nassgeodata.gmu.edu/CropScape/devhelp/help.html,non-gov,,
Department of Agriculture,National Agricultural Statistics Service,---,NASS Ag Census Map Service,https://www.ers.usda.gov/developer/geospatial-apis/nass-map-service-documentation.aspx,active,,https://www.nass.usda.gov/developer/
Department of Agriculture,National Resources Conservation Service,---,National Water and Climate Center AWDB database,http://www.wcc.nrcs.usda.gov/web_service/AWDB_Web_Service_Tutorial.htm,active,https://www.usda.gov/developer,
Department of Agriculture,National Resources Conservation Service,---,Soil Data Mart,http://sdmdataaccess.nrcs.usda.gov/,active,https://www.usda.gov/developer,
Department of Commerce,---,---,Content API,https://www.commerce.gov/page/api-documentation-commercegov,active,,https://www.commerce.gov/developer
Department of Commerce,Bureau of Economic Analysis,---,Data API,https://www.bea.gov/API/,active,https://www.bea.gov/api,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,American Community Survey 1-Year Data (2011-2017),https://www.census.gov/data/developers/data-sets/acs-1year.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,American Community Survey 3-Year Data (2012-2013),https://www.census.gov/data/developers/data-sets/acs-3year.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,American Community Survey 5-Year Data (2009-2016),https://www.census.gov/data/developers/data-sets/acs-5year.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,American Community Survey Migration Flows (2009-2015),https://www.census.gov/data/developers/data-sets/acs-migration-flows.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,American Community Survey Supplemental (2014 - 2017),https://www.census.gov/data/developers/data-sets/ACS-supplemental-data.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,Annual Survey of Entrepreneurs,https://www.census.gov/data/developers/data-sets/ase.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,Annual Survey of Manufactures API (Time Series: 2002-2016),https://www.census.gov/data/developers/data-sets/Annual-Survey-of-Manufactures.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,Business Dynamics Statistics (Time Series: 1976-2014),https://www.census.gov/data/developers/data-sets/business-dynamics.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,Census Geocoding Services,https://www.census.gov/data/developers/data-sets/Geocoding-services.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,Census TIGERweb GeoServices REST API,https://www.census.gov/data/developers/data-sets/TIGERweb-map-service.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,County Business Patterns and Nonemployer Statistics (1986-2016),https://www.census.gov/data/developers/data-sets/cbp-nonemp-zbp.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,"Decennial Census (2010, 2000, 1990)",https://www.census.gov/data/developers/data-sets/decennial-census.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,"Decennial Census Surname Files (2010, 2000)",https://www.census.gov/data/developers/data-sets/surnames.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,"Economic Census (2012, 2007, 2002)",https://www.census.gov/data/developers/data-sets/economic-census.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,Economic Indicators (Time Series: various years - present),https://www.census.gov/data/developers/data-sets/economic-indicators.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,"Health Insurance Statistics: CPS, SIPP, ACS and SAHIE",https://www.census.gov/data/developers/data-sets/Health-Insurance-Statistics.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,International Data Base (Time Series: various year - 2050),https://www.census.gov/data/developers/data-sets/international-database.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,International Trade (Time Series: 2005 - present),https://www.census.gov/data/developers/data-sets/international-trade.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,Language Statistics: ACS (2013),https://www.census.gov/data/developers/data-sets/language-stats.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,Population Estimates and Projections (2012 - 2016),https://www.census.gov/data/developers/data-sets/popest-popproj.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,Poverty Statistics: CPS & SAIPE (Time Series: various years),https://www.census.gov/data/developers/data-sets/Poverty-Statistics.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,Quarterly Workforce Indicators (QWI) (Time Series: 1990 - present),https://www.census.gov/data/developers/data-sets/qwi.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,Survey of Business Owners (2012),https://www.census.gov/data/developers/data-sets/business-owners.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,Census Bureau,---,The Planning Database (2015-2016),https://www.census.gov/data/developers/data-sets/planning-database.html,active,https://www.census.gov/developers/,https://www.commerce.gov/developer
Department of Commerce,International Trade Administration,---,Market Research Library API,http://developer.trade.gov/market-research-library.html,inactive,https://developer.trade.gov/,
Department of Commerce,International Trade Administration,---,ITA Offices and Centers API,https://developer.trade.gov/ita-office-locations.html,active,https://developer.trade.gov/,https://www.commerce.gov/developer
Department of Commerce,International Trade Administration,---,Trade Events API,https://developer.trade.gov/trade-events.html,active,https://developer.trade.gov/,https://www.commerce.gov/developer
Department of Commerce,International Trade Administration,---,Trade News and Articles API,http://developer.trade.gov/trade-news-articles.html,inactive,https://developer.trade.gov/,
Department of Commerce,International Trade Administration,---,Consolidated Screening List,https://developer.trade.gov/consolidated-screening-list.html,active,https://developer.trade.gov/,https://www.commerce.gov/developer
Department of Commerce,International Trade Administration,---,Trade Leads,https://developer.trade.gov/trade-leads.html,active,https://developer.trade.gov/,https://www.commerce.gov/developer
Department of Commerce,International Trade Administration,---,FTA Tariff Rates API,https://developer.trade.gov/tariff-rates.html,active,https://developer.trade.gov/,https://www.commerce.gov/developer
Department of Commerce,International Trade Administration,---,FAQs on Exporting API,https://developer.trade.gov/faqs-exporting.html,active,https://developer.trade.gov/,https://www.commerce.gov/developer
Department of Commerce,International Trade Administration,---,Zip Code to USEAC API,https://developer.trade.gov/ita-zip-codes.html,active,https://developer.trade.gov/,https://www.commerce.gov/developer
Department of Commerce,International Trade Administration,---,Business Service Providers API,https://developer.trade.gov/business-service-providers.html,active,https://developer.trade.gov/,https://www.commerce.gov/developer
Department of Commerce,International Trade Administration,---,ITA Taxonomies API,https://developer.trade.gov/ita-taxonomies.html,active,https://developer.trade.gov/,
Department of Commerce,International Trade Administration,---,De Minimis API,https://developer.trade.gov/de-minimis.html,active,https://developer.trade.gov/,
Department of Commerce,International Trade Administration,---,Market Intelligence API,https://developer.trade.gov/market-intelligence.html,active,https://developer.trade.gov/,
Department of Commerce,National Institute of Standards and Technology,---,CDA Guideline Validation Tool,http://xreg2.nist.gov/cda-validation/webservice.html,inactive,,
Department of Commerce,National Institute of Standards and Technology,---,Randomness Beacon REST API,https://beacon.nist.gov/home,active,,
Department of Commerce,National Oceanic and Atmospheric Administration,---,Meteorological Assimilation Data Ingest System,http://madis.noaa.gov/madis_api.html,active,,https://www.commerce.gov/developer
Department of Commerce,National Oceanic and Atmospheric Administration,---,National Climatic Data Center Web Services,http://www.ncdc.noaa.gov/cdo-web/webservices/ncdcwebservices,,,
Department of Commerce,National Oceanic and Atmospheric Administration,---,Environmental Research Division's Data Access Program,http://coastwatch.pfeg.noaa.gov/erddap/rest.html,active,,https://www.commerce.gov/developer
Department of Commerce,National Oceanic and Atmospheric Administration,---,Center for Operational Oceanographic Products and Services,http://opendap.co-ops.nos.noaa.gov/axis/,active,,https://www.commerce.gov/developer
Department of Commerce,National Oceanic and Atmospheric Administration,---,CO-OPS Open Geospatial Consortium Sensor Observation Service,http://opendap.co-ops.nos.noaa.gov/ioos-dif-sos/,active,,https://www.commerce.gov/developer
Department of Commerce,National Oceanic and Atmospheric Administration,---,National Digital Forecast Database SOAP Web Service,http://graphical.weather.gov/xml/,active,,https://www.commerce.gov/developer
Department of Commerce,National Oceanic and Atmospheric Administration,---,National Climatic Data Center Climate Data Online Web Services Web Services,http://www.ncdc.noaa.gov/cdo-web/webservices,active,,https://www.commerce.gov/developer
Department of Commerce,National Oceanic and Atmospheric Administration,---,General National Climatatic Data Center THREDDS Data Server,http://www.ncdc.noaa.gov/thredds,,https://www.ncdc.noaa.gov/cdo-web/,
Department of Commerce,National Oceanic and Atmospheric Administration,---,National Climatatic Data Center NOMADS THREDDS Data Server,http://nomads.ncdc.noaa.gov/thredds,,,
Department of Commerce,National Oceanic and Atmospheric Administration,---,GIS Map Services,http://gis.ncdc.noaa.gov/,active,,https://www.commerce.gov/developer
Department of Commerce,National Oceanic and Atmospheric Administration,---,Legacy National Climatatic Data Center RESTful Services,http://www7.ncdc.noaa.gov/rest/,active,,https://www.commerce.gov/developer
Department of Commerce,National Oceanic and Atmospheric Administration,---,Ocean Service's nowCOAST's Map Services,http://nowcoast.noaa.gov/help/mapservices.shtml?name=mapservices,,,
Department of Commerce,National Oceanic and Atmospheric Administration,---,Severe Weather Data Inventory Web Service,http://www.ncdc.noaa.gov/swdiws/,active,,https://www.commerce.gov/developer
Department of Commerce,National Oceanic and Atmospheric Administration,---,Space Physics Interactive Data Resource Web Services,http://spidr.ngdc.noaa.gov/spidr/docs/SPIDR.REST.WSGuide.en.pdf,,,
Department of Commerce,National Oceanic and Atmospheric Administration,---,Center for Operational Oceanographic Products and Services,http://tidesandcurrents.noaa.gov/api,,,
Department of Commerce,National Telecommunications and Information Administration,---,Broadband Technology Opportunities Program API,http://www2.ntia.doc.gov/BTOPmap/api,active,,
Department of Commerce,Patent and Trademark Office,---,Bulk Data Storage System (BDSS) API,https://developer.uspto.gov/api-catalog/bdss,active,https://developer.uspto.gov/,
Department of Commerce,Patent and Trademark Office,---,Bulk search and download API,https://developer.uspto.gov/api-catalog/bulk-search-and-download,active,https://developer.uspto.gov/,x
Department of Commerce,Patent and Trademark Office,---,Cancer Moonshot Patent Data Set API,https://developer.uspto.gov/api-catalog/cancer-moonshot-patent-data-set-api,active,https://developer.uspto.gov/,
Department of Commerce,Patent and Trademark Office,---,EDH API,http://edhapi.uspto.gov/,inactive,,
Department of Commerce,Patent and Trademark Office,---,OCE - Patent Examination Event Codes API,https://developer.uspto.gov/api-catalog/oce-patent-examination-event-codes,active,https://developer.uspto.gov/,
Department of Commerce,Patent and Trademark Office,---,OCE - Patent Examination Status Codes API,https://developer.uspto.gov/api-catalog/oce-patent-examination-status-codes,active,https://developer.uspto.gov/,
Department of Commerce,Patent and Trademark Office,---,OCE - Patent Litigation Cases API,https://developer.uspto.gov/api-catalog/oce-patent-litigation-cases,active,https://developer.uspto.gov/,
Department of Commerce,Patent and Trademark Office,---,Patent Assignment Search (Beta) API,https://developer.uspto.gov/api-catalog/patent-assignment-search-beta,active,https://developer.uspto.gov/,
Department of Commerce,Patent and Trademark Office,---,Patent Examination Data System API,https://developer.uspto.gov/api-catalog/pair-bulk-data,active,https://developer.uspto.gov/,
Department of Commerce,Patent and Trademark Office,---,PatentsView API,https://developer.uspto.gov/api-catalog/patentsview,active,https://developer.uspto.gov/,
Department of Commerce,Patent and Trademark Office,---,PTAB API (Beta),https://developer.uspto.gov/api-catalog/ptab-api,active,https://developer.uspto.gov/,
Department of Commerce,Patent and Trademark Office,---,Trademark Status & Document Retrieval,https://tsdr.uspto.gov/faqview,active,,https://www.commerce.gov/developer
Department of Commerce,Patent and Trademark Office,---,Trademark Image Search,https://developer.uspto.gov/api-catalog/trademark-image-search-beta,active,https://developer.uspto.gov/,
Department of Commerce,Patent and Trademark Office,---,Office Action Citations API,https://developer.uspto.gov/api-catalog/uspto-office-action-citations-api-beta,active,https://developer.uspto.gov/,
Department of Commerce,Patent and Trademark Office,---,USPTO Office Action Rejection API,https://developer.uspto.gov/api-catalog/uspto-office-action-rejection-api-beta,active,https://developer.uspto.gov/,
Department of Commerce,Patent and Trademark Office,---,Unified Event API,https://developer.uspto.gov/api-catalog/unified-event-api,active,https://developer.uspto.gov/,
Department of Defense,---,---,Joint Tactical Networking Center APIs,http://jtnc.mil/sca/Pages/api1.aspx,inactive,,
Department of Defense,---,---,IUID Registry API,http://www.acq.osd.mil/dpap/pdi/uid/data_submission_information.html,active,https://defense.gov/developer,
Department of Defense,---,---,ADL 3d repository,http://3dr.adlnet.gov/blog/?p=78,active,https://defense.gov/developer,
Department of Defense,---,---,ADL Experience API,http://www.adlnet.gov/tla/experience-api,active,https://defense.gov/developer,
Department of Defense,---,---,Clause Logic Service,http://www.acq.osd.mil/dpap/pdi/eb/clause_logic_service.html,active,https://defense.gov/developer,
Department of Defense,---,---,Product Service Code (PSC) Tool API,https://psctool.us/apidocs,active,,
Department of Defense,---,---,Federal Voting Assistance Program API,https://www.fvap.gov/xml-api,active,,
Department of Defense,US Army Corps of Engineers,---,ARCGIS Services,http://maps.usace.army.mil:8399/arcgis/rest/services,inactive,,
Department of Defense,US Army Corps of Engineers,---,Coastal Inlets Research Program (CIRP) Wiki API,http://cirp.usace.army.mil/CIRPwiki/api.php?action=patrol&token=123abc&rcid=230672766,inactive,,
Department of Defense,US Army Corps of Engineers,---,Hydrologic Engineering Center Data Storage System,http://www.hec.usace.army.mil/software/hec-dss/documents/Ch7-Scripting.pdf,inactive,https://defense.gov/developer,
Department of Defense,US Army Corps of Engineers,---,Lock Performance Monitoring System,http://corpslocks.usace.army.mil/lpwb/f?p=121:7:0:::::,active,https://defense.gov/developer,
Department of Defense,US Army Corps of Engineers,---,OMNI Data,http://www2.mvr.usace.army.mil/OMNI/ws/OMNIdataWebService.cfm,inactive,,
Department of Defense,US Army Corps of Engineers,---,Proteus API,https://adh.usace.army.mil/proteus/api/index.html#,inactive,https://defense.gov/developer,
Department of Defense,US Army Corps of Engineers,---,PyADH API,https://adh.usace.army.mil/pyadh/api/index.html,inactive,https://defense.gov/developer,
Department of Defense,US Navy,---,Common Open Research Emulator IPC API,http://downloads.pf.itd.nrl.navy.mil/docs/core/core_api.pdf,active,,
Department of Defense,Arlington National Cemetary,---,Burial Record Web Services,http://www.arlingtoncemetery.mil/Developer/BRPSM.aspx,active,https://www.arlingtoncemetery.mil/Developers,
Department of Defense,Arlington National Cemetary,---,Public Services,https://www.arlingtoncemetery.mil/Developers/Public-Service-Methods,active,https://www.arlingtoncemetery.mil/Developers,
Department of Defense,Arlington National Cemetary,---,Public Mapping Web Services,http://www.arlingtoncemetery.mil/Developer/Default.aspx,active,https://www.arlingtoncemetery.mil/Developers,
Department of Education,---,---,Integrated Postsecondary Education Data System (IPEDS): Institutional Characteristics - Directory Information (2011),https://explore.data.gov/developers/docs/nces-ipeds-hd2011,inactive,,
Department of Education,---,---,Integrated Postsecondary Education Data System (IPEDS): Awards/degrees Conferred by Program (2011),https://explore.data.gov/developers/docs/nces-ipeds-c2011_a,inactive,,
Department of Education,---,---,College Scorecard,https://collegescorecard.ed.gov/data/documentation/,active,https://usedgov.github.io/,
Department of Education,---,---,Civil Rights Data Collection API,https://usedgov.github.io/api/crdc.html,active,https://usedgov.github.io/,
Department of Education,---,---,My Brother's Keeper (MBK) APIs,https://usedgov.github.io/api/mbk.html,active,https://usedgov.github.io/,
Department of Education,---,---,Legacy APIs,https://usedgov.github.io/api/legacy/,active,https://usedgov.github.io/,
Department of Energy,Argonne National Laboratory,---,Channel Access API,http://www.aps.anl.gov/bcda/epicsgettingstarted/developtools/introductionchannelaccess.html,,,https://www.energy.gov/developers
Department of Energy,Argonne National Laboratory,---,EZ Channel Access API,http://www.aps.anl.gov/epics/extensions/ezca/,,,
Department of Energy,Argonne National Laboratory,---,AWE API,http://press.igsb.anl.gov/mgrdev/developers/the-awe-api/,,,
Department of Energy,Argonne National Laboratory,---,SHOCK API,http://press.igsb.anl.gov/mgrdev/developers/shock-api/,,,
Department of Energy,Argonne National Laboratory,---,M5nr API,http://press.igsb.anl.gov/mgrdev/under-the-hood/mg-rast-tools/m5nr/the-m5nr-api/,,,
Department of Energy,Argonne National Laboratory,---,MG-RAST API,https://api.metagenomics.anl.gov/api.html,,,
Department of Energy,Argonne National Laboratory,---,NEOS API,http://neos.mcs.anl.gov/neos/NEOS-API.html,,,
Department of Energy,Brookhaven National Laboratory,---,Maven 1 API,https://www.racf.bnl.gov/Facility/GUMS/1.3/apidocs/,,,
Department of Energy,Brookhaven National Laboratory,---,NuWa Python API,http://dayabay.bnl.gov/oum/api/,,,
Department of Energy,Brookhaven National Laboratory,---,PerfSonar Network Monitoring Framework Data Access API,https://www.racf.bnl.gov/experiments/usatlas/griddev/new-perfsonar-application-framework/overview,,,
Department of Energy,Brookhaven National Laboratory,---,Star DB C++ API,http://drupal.star.bnl.gov/STAR/comp/db/development/db_cppapi,,,
Department of Energy,Brookhaven National Laboratory,---,Terepaths API,https://www.racf.bnl.gov/terapaths/software/the-terapaths-api,,,
Department of Energy,Brookhaven National Laboratory,---,STAR Scheduler Standard API,http://www.star.bnl.gov/public/comp/Grid/scheduler/javadoc/overview-summary.html,,,
Department of Energy,Energy Information Administration,---,Energy Information Administration API,http://www.eia.gov/developer/,,https://www.eia.gov/developer/,
Department of Energy,National Renewable Energy Laboratory,---,Building Components Library,https://bcl.nrel.gov/developer,,,
Department of Energy,National Renewable Energy Laboratory,---,Electricity APIs,http://developer.nrel.gov/doc/electricity,,https://developer.nrel.gov/,
Department of Energy,National Renewable Energy Laboratory,---,Solar APIs,http://developer.nrel.gov/doc/solar,,,
Department of Energy,National Renewable Energy Laboratory,---,Alternative Fuel Stations,http://developer.nrel.gov/doc/alt-fuel-stations-v1,,,
Department of Energy,National Renewable Energy Laboratory,---,Standard Work Specifications,http://developer.nrel.gov/docs/buildings/standard-work-spec-v1/,,,
Department of Energy,National Renewable Energy Laboratory,---,High Performance Building Database,http://developer.nrel.gov/docs/buildings/building-case-studies/,,,
Department of Energy,National Renewable Energy Laboratory,---,Commercial Building Resource Database,http://developer.nrel.gov/docs/buildings/commercial-building-resource-database-v1/,,,
Department of Energy,National Renewable Energy Laboratory,---,Utility Rates,http://developer.nrel.gov/docs/electricity/utility-rates-v3/,,,
Department of Energy,National Renewable Energy Laboratory,---,Utility Rates by Census Region,http://developer.nrel.gov/docs/electricity/census-rate-v3/,,,
Department of Energy,National Renewable Energy Laboratory,---,Energy Incentives,http://developer.nrel.gov/docs/electricity/energy-incentives-v1/,,,
Department of Energy,National Renewable Energy Laboratory,---,PV Data Acquisition,http://developer.nrel.gov/docs/solar/pvdaq-v3/,,,
Department of Energy,National Renewable Energy Laboratory,---,PVWatts API,http://developer.nrel.gov/docs/solar/pvwatts-v4/,,,
Department of Energy,National Renewable Energy Laboratory,---,Wind Toolkit Data,http://developer.nrel.gov/docs/wind/wind-toolkit-extract/,,,
Department of Energy,Lawrence Berkeley National Laboratory,---,National Energy Research Scientific Computing Center's NEWT,https://newt.nersc.gov/,,,
Department of Energy,Lawrence Berkeley National Laboratory,---,Home Energy Saver,https://developers.buildingsapi.lbl.gov/hes/documentation/api-definitions,,,
Department of Energy,Lawrence Berkeley National Laboratory,---,Home Energy Saver Multifamily,https://developers.buildingsapi.lbl.gov/hes/documentation/mf-api-definitions,,,
Department of Energy,Lawrence Berkeley National Laboratory,---,Home Energy Score,https://developers.buildingsapi.lbl.gov/hescore/documentation/hescore-api-definitions,,,
Department of Energy,Lawrence Berkeley National Laboratory,---,Energy IQ,https://developers.buildingsapi.lbl.gov/eiq/documentation,,,
Department of Energy,Lawrence Berkeley National Laboratory,---,Colt API,http://acs.lbl.gov/software/colt/,,,
Department of Energy,Lawrence Berkeley National Laboratory,---,Materials Project API,https://materials.nersc.gov/open,,,
Department of Energy,Oak Ridge National Laboratory,---,Bioenergy Knowledge Discovery Framework REST API,http://gisthal.ornl.gov/apidocs/restapi,,,
Department of Energy,Oak Ridge National Laboratory,---,FuelEconomy.gov Web Services,http://www.fueleconomy.gov/feg/ws/index.shtml,,https://www.fueleconomy.gov/ws,
Department of Energy,Office of Scientific and Technical Information,---,Conference Information,http://www.osti.gov/XMLServices,,https://www.osti.gov/XMLServices,
Department of Energy,Office of Scientific and Technical Information,---,DOepatents Database Data,http://www.osti.gov/XMLServices,,,
Department of Energy,Office of Scientific and Technical Information,---,DOE Data Explorer,http://www.osti.gov/XMLServices,,,
Department of Energy,Office of Scientific and Technical Information,---,Energy Citations Database Data,http://www.osti.gov/XMLServices,,,
Department of Energy,Office of Scientific and Technical Information,---,FreedomCAR/FCVT Data,http://www.osti.gov/XMLServices,,,
Department of Energy,Office of Scientific and Technical Information,---,Geothermal/Geothermal Legacy Data,http://www.osti.gov/XMLServices,,,
Department of Energy,Office of Scientific and Technical Information,---,Green Energy Data Service,http://www.osti.gov/XMLServices,,,
Department of Energy,Office of Scientific and Technical Information,---,Hydropower Data,http://www.osti.gov/XMLServices,,,
Department of Energy,Office of Scientific and Technical Information,---,Information Bridge Data,http://www.osti.gov/XMLServices,,,
Department of Energy,Office of Scientific and Technical Information,---,R&D Accomplishments,http://www.osti.gov/XMLServices,,,
Department of Energy,Office of Scientific and Technical Information,---,SciTech Connect Data,http://www.osti.gov/XMLServices,,,
Department of Energy,Pacific Northwest National Laboratory,---,Commercial Building Energy Asset Scoring API,https://assetscoreapi.pnnl.gov/apidoc,,,
Department of Energy,Sandia National Laboratory,---,Kokkos Node API,http://trilinos.sandia.gov/packages/docs/r10.10/packages/kokkos/doc/html/group__kokkos__node__api.html,,,
Department of Energy,Sandia National Laboratory,---,Kokkos Compresssed-Row Sparse API,http://trilinos.sandia.gov/packages/docs/r10.12/packages/kokkos/doc/html/group__kokkos__crs__ops.html,,,
Department of Energy,Sandia National Laboratory,---,Cognitive Foundry API,http://foundry.sandia.gov/releases/latest/javadoc-api/index.html,,,
Department of Energy,Sandia National Laboratory,---,Multi-Level API,http://trilinos.sandia.gov/packages/ml/mlapi.html,,,
Department of Health and Human Services,---,---,HIV/AIDS Service Provider Locator API,http://locator.aids.gov/data-how-to.html,,https://www.hhs.gov/developer,
Department of Health and Human Services,---,---,Content Syndication API,https://syndication.hhs.gov/storefront/apiDoc,,,
Department of Health and Human Services,---,---,Health Topics A-to-Z API,http://healthfinder.gov/developer/How_to_Use.aspx,,https://healthfinder.gov/developers/,
Department of Health and Human Services,---,---,Healthcare Finder API,http://finder.healthcare.gov/services,,,
Department of Health and Human Services,---,---,Healthcare.gov Content API,https://www.healthcare.gov/developers/,,https://www.healthcare.gov/developers,
Department of Health and Human Services,---,---,HealthData.gov Catalog API,http://healthdata.gov/catalog-api,,https://www.healthdata.gov/developer,
Department of Health and Human Services,---,---,HealthData.gov Data API,http://healthdata.gov/data-api,,,
Department of Health and Human Services,---,---,Applicant Web Services,http://www.grants.gov/web/grants/s2s/applicant/web-services.html,,,
Department of Health and Human Services,---,---,Grantor Web Services,http://www.grants.gov/web/grants/s2s/grantor/web-services.html,,,
Department of Health and Human Services,Agency for Healthcare Research and Quality,---,Clinical Decision Support API,https://ushik.ahrq.gov/help/CDS/api?system=cds,,,
Department of Health and Human Services,Agency for Healthcare Research and Quality,---,Electronic Preventive Services Selector (ePSS) API,https://epss.ahrq.gov/PDA/epssjson.jsp,,,
Department of Health and Human Services,Agency for Healthcare Research and Quality,---,Quality Reporting Programs API,http://ushik.ahrq.gov/help/MeaningfulUse/api?system=mu,,,
Department of Health and Human Services,Administration on Aging,---,Eldercare.gov Locator API,http://eldercare.gov/Eldercare.NET/Public/Site_Utilities/API_Reg/API_Registration.aspx,,,
Department of Health and Human Services,Administration for Children and Families,---,AChecker Web Service,https://achecker.grantsolutions.gov/documentation/web_service_api.php,,,
Department of Health and Human Services,Centers for Medicare and Medicaid Services,---,Quality Payment Program Submissions API,https://cmsgov.github.io/qpp-submissions-docs/,,https://developer.cms.gov/,
Department of Health and Human Services,Centers for Medicare and Medicaid Services,---,Quality Payment Program CMS Web Interface API,https://qpp.cms.gov/developers,,https://qpp.cms.gov/developers,
Department of Health and Human Services,Centers for Medicare and Medicaid Services,---,Healthcare Associated Infections API,https://data.medicare.gov/developers/docs/healthcare-associated-infections,,,
Department of Health and Human Services,Centers for Medicare and Medicaid Services,---,Inpatient Prospective Payment System (IPPS) Provider Summary for the Top 100 Diagnosis-Related Groups (DRG),https://data.cms.gov/developers/docs/inpatient-charge-data-FY2011,,,
Department of Health and Human Services,Centers for Medicare and Medicaid Services,---,Inpatient Prospective Payment System (IPPS) Provider Summary for the Top 100 Diagnosis-Related Groups (DRG) - 2,https://data.cms.gov/developers/docs/ippps,,,
